"player_id","season","team_drafted_to_id","round_number","round_pick","overall_pick_number"
"2067",2000,"1610612748",2,8,37
"2068",2000,"1610612752",2,10,39
"2069",2000,"1610612737",2,11,40
"2071",2000,"1610612760",2,13,42
"2072",2000,"1610612749",2,14,43
"2073",2000,"1610612765",2,15,44
"2074",2000,"1610612758",2,16,45
"2078",2000,"1610612749",2,20,49
"2079",2000,"1610612762",2,21,50
"2080",2000,"1610612750",2,22,51
"2081",2000,"1610612748",2,23,52
"2082",2000,"1610612743",2,24,53
"2084",2000,"1610612744",2,26,55
"2198",2001,"1610612764",1,1,1
"2199",2001,"1610612746",1,2,2
"2200",2001,"1610612737",1,3,3
"2201",2001,"1610612741",1,4,4
"2202",2001,"1610612744",1,5,5
"2203",2001,"1610612763",1,6,6
"2204",2001,"1610612751",1,7,7
"2205",2001,"1610612739",1,8,8
"2206",2001,"1610612765",1,9,9
"2207",2001,"1610612738",1,10,10
"2208",2001,"1610612738",1,11,11
"2209",2001,"1610612760",1,12,12
"2210",2001,"1610612745",1,13,13
"2211",2001,"1610612744",1,14,14
"2212",2001,"1610612753",1,15,15
"2213",2001,"1610612766",1,16,16
"2214",2001,"1610612761",1,17,17
"2215",2001,"1610612745",1,18,18
"2216",2001,"1610612757",1,19,19
"2217",2001,"1610612739",1,20,20
"2218",2001,"1610612738",1,21,21
"2219",2001,"1610612753",1,22,22
"2220",2001,"1610612745",1,23,23
"2221",2001,"1610612762",1,24,24
"2222",2001,"1610612758",1,25,25
"2223",2001,"1610612755",1,26,26
"2224",2001,"1610612763",1,27,27
"2225",2001,"1610612759",1,28,28
"2226",2001,"1610612763",2,4,32
"2228",2001,"1610612756",2,22,50
"2238",2001,"1610612763",2,19,47
"2239",2001,"1610612741",2,1,29
"2240",2001,"1610612744",2,2,30
"2241",2001,"1610612753",2,3,31
"2242",2001,"1610612737",2,5,33
"2243",2001,"1610612751",2,6,34
"2244",2001,"1610612739",2,7,35
"2245",2001,"1610612755",2,8,36
"2246",2001,"1610612765",2,9,37
"2248",2001,"1610612760",2,11,39
"2249",2001,"1610612754",2,12,40
"2250",2001,"1610612760",2,13,41
"2253",2001,"1610612741",2,16,44
"2254",2001,"1610612750",2,17,45
"2256",2001,"1610612748",2,20,48
"2257",2001,"1610612757",2,21,49
"2260",2001,"1610612762",2,24,52
"2261",2001,"1610612742",2,25,53
"2264",2001,"1610612755",2,28,56
"2349",1991,"1610612744",1,17,17
"2397",2002,"1610612745",1,1,1
"2398",2002,"1610612741",1,2,2
"2399",2002,"1610612744",1,3,3
"2400",2002,"1610612763",1,4,4
"2401",2002,"1610612743",1,5,5
"2402",2002,"1610612739",1,6,6
"2403",2002,"1610612752",1,7,7
"2404",2002,"1610612746",1,8,8
"2405",2002,"1610612756",1,9,9
"2406",2002,"1610612748",1,10,10
"2407",2002,"1610612764",1,11,11
"2408",2002,"1610612746",1,12,12
"2409",2002,"1610612749",1,13,13
"2410",2002,"1610612754",1,14,14
"2411",2002,"1610612745",1,15,15
"2412",2002,"1610612755",1,16,16
"2413",2002,"1610612764",1,17,17
"2414",2002,"1610612753",1,18,18
"2415",2002,"1610612762",1,19,19
